;suicide n;population;population/100000;suicide_rate;unemployement_rate;material_deprivation;HDD;overhours_rate;morbidity_rate;divorce_rate
Austria;1160;8858775;88,58775;13,09;3,3;5,9;3279,5;10,4;37,5;1,8
Belgium;1761;11455519;114,55519;15,37;3,3;9,3;2532,36;9,5;26,1;2
Bulgaria;574;7000039;70,00039;8,2;3,3;32,6;2152,56;1,1;21,7;1,6
Croatia;584;4076246;40,76246;14,33;3,8;19,6;2076,47;6,2;36,8;1,5
Cyprus;39;875899;8,75899;4,45;4,9;23,1;693,06;9,9;38,9;2,6
Czechia;1219;10649800;106,498;11,45;1,3;7;2998,07;11;36,3;2,3
Denmark;612;5806081;58,06081;10,54;3,5;6,1;3026,8;4,1;31,2;1,8
Estonia;195;1324820;13,2482;14,72;3,2;9,1;3883,05;3,6;44,2;2,1
Finland;745;5517919;55,17919;13,5;4,5;7;5482,97;7,5;49,7;2,4
France;8671;67290471;672,90471;12,89;5,3;11,1;2246,95;12;38,2;1,9
Germany;9104;83019213;830,19213;10,97;2,1;6,8;2800,81;6,9;43,2;1,8
Greece;530;10724599;107,24599;4,94;10,7;30,4;1448,99;16,6;23,9;1,4
Hungary;1550;9772756;97,72756;15,86;2,1;18,5;2381,22;2,9;39,8;1,8
Iceland;38;356991;3,56991;10,64;2,8;5,1;2741,05;15,3;31,1;1,9
Ireland;390;4904240;49,0424;7,95;3,3;12,6;2706,58;10;27,7;0,7
Italy;3725;59816673;598,16673;6,23;5,7;14,1;1813,91;10,1;16;1,4
Latvia;288;1919968;19,19968;15;4,4;16,4;3622,92;2,1;42,1;3,1
Lithuania;661;2794184;27,94184;23,66;4,4;20,9;3391,36;0,7;36,9;3,1
Luxembourg;70;613894;6,13894;11,4;3,7;3,7;2753,6;4,2;25,1;3,1
Malta;22;493559;4,93559;4,46;2,4;8,4;515,23;9,8;30,7;0,7
Netherlands;1895;17282163;172,82163;10,97;3,3;6,2;2514,41;4,5;32,3;1,7
Norway;666;5328212;53,28212;12,5;2,8;5,2;5509,44;2,6;38,9;1,9
Poland;4597;37972812;379,72812;12,11;2;9,4;2951,82;10,6;39,2;1,7
Portugal;992;10276617;102,76617;9,65;4,4;15,1;1109,07;10,4;41,2;2
Romania;1744;19414458;194,14458;8,98;2,7;27,8;2568,23;2,2;18,9;1,6
Slovakia;368;5450421;54,50421;6,75;3,8;15,2;2899,05;9,4;31,9;1,7
Slovenia;397;2080908;20,80908;19,08;2,9;8,5;2600,72;7,1;35,8;1,2
Spain;3671;46937060;469,3706;7,82;9,1;12,4;1670,72;7,2;29,4;1,9
Sweden;1301;10230185;102,30185;12,72;5,1;4,7;5119,61;4,1;36,9;2,5
Switzerland;1056;8544527;85,44527;12,36;3,4;4,9;2741,05;3,8;35,4;2
Turkiye;3404;82003882;820,03882;4,15;7,6;39,7;2741,05;30,6;36,7;1,9
